,time,pelvis_list,pelvis_rotation,pelvis_tilt,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,pelvis_ty,lumbar_bending,lumbar_rotation,lumbar_extension
489.000,5.010,0.053,-0.049,-0.029,-0.235,-0.026,-0.008,-0.455,-0.076,0.413,0.053,0.053,-0.214,-0.089,0.960,-0.053,0.049,0.029
490.000,5.020,0.063,-0.046,-0.027,-0.186,-0.047,-0.017,-0.570,-0.170,0.401,0.068,0.070,-0.258,-0.073,0.960,-0.063,0.046,0.027
491.000,5.030,0.071,-0.047,-0.026,-0.125,-0.063,-0.012,-0.691,-0.233,0.380,0.083,0.074,-0.286,-0.044,0.960,-0.071,0.047,0.026
492.000,5.040,0.076,-0.050,-0.027,-0.055,-0.072,0.005,-0.806,-0.246,0.353,0.095,0.073,-0.297,-0.014,0.960,-0.076,0.050,0.027
493.000,5.050,0.077,-0.055,-0.028,0.017,-0.073,0.019,-0.902,-0.220,0.321,0.102,0.067,-0.295,0.011,0.960,-0.077,0.055,0.028
494.000,5.060,0.074,-0.059,-0.030,0.086,-0.068,0.019,-0.971,-0.177,0.286,0.105,0.056,-0.283,0.034,0.960,-0.074,0.059,0.030
495.000,5.070,0.068,-0.061,-0.032,0.151,-0.059,0.006,-1.009,-0.133,0.248,0.104,0.047,-0.264,0.052,0.960,-0.068,0.061,0.032
496.000,5.080,0.059,-0.062,-0.034,0.209,-0.049,-0.013,-1.017,-0.092,0.208,0.101,0.042,-0.242,0.068,0.960,-0.059,0.062,0.034
497.000,5.090,0.049,-0.062,-0.035,0.261,-0.038,-0.030,-1.000,-0.056,0.167,0.097,0.037,-0.217,0.081,0.960,-0.049,0.062,0.035
498.000,5.100,0.038,-0.060,-0.036,0.308,-0.028,-0.043,-0.961,-0.023,0.126,0.093,0.032,-0.191,0.092,0.960,-0.038,0.060,0.036
499.000,5.110,0.029,-0.058,-0.037,0.347,-0.019,-0.054,-0.900,0.004,0.085,0.088,0.026,-0.164,0.101,0.960,-0.029,0.058,0.037
500.000,5.120,0.022,-0.054,-0.038,0.380,-0.012,-0.065,-0.820,0.025,0.045,0.084,0.021,-0.139,0.110,0.960,-0.022,0.054,0.038
501.000,5.130,0.016,-0.050,-0.039,0.406,-0.005,-0.076,-0.724,0.039,0.006,0.081,0.017,-0.115,0.118,0.960,-0.016,0.050,0.039
502.000,5.140,0.011,-0.045,-0.040,0.425,0.001,-0.087,-0.614,0.045,-0.032,0.078,0.012,-0.094,0.127,0.960,-0.011,0.045,0.040
503.000,5.150,0.009,-0.040,-0.041,0.436,0.005,-0.092,-0.494,0.042,-0.069,0.076,0.008,-0.075,0.137,0.960,-0.009,0.040,0.041
504.000,5.160,0.008,-0.033,-0.041,0.441,0.008,-0.087,-0.371,0.032,-0.106,0.075,0.003,-0.059,0.147,0.960,-0.008,0.033,0.041
505.000,5.170,0.007,-0.025,-0.041,0.441,0.009,-0.070,-0.252,0.020,-0.141,0.074,0.000,-0.047,0.158,0.960,-0.007,0.025,0.041
506.000,5.180,0.007,-0.016,-0.039,0.437,0.010,-0.049,-0.148,0.009,-0.176,0.073,-0.002,-0.041,0.168,0.960,-0.007,0.016,0.039
507.000,5.190,0.007,-0.007,-0.038,0.433,0.010,-0.032,-0.075,0.003,-0.207,0.072,0.000,-0.043,0.177,0.960,-0.007,0.007,0.038
508.000,5.200,0.006,0.001,-0.036,0.430,0.012,-0.024,-0.040,0.001,-0.236,0.069,0.004,-0.052,0.184,0.960,-0.006,-0.001,0.036
509.000,5.210,0.004,0.008,-0.036,0.430,0.015,-0.022,-0.041,0.000,-0.259,0.064,0.010,-0.071,0.188,0.960,-0.004,-0.008,0.036
510.000,5.220,0.000,0.014,-0.033,0.431,0.021,-0.021,-0.072,-0.009,-0.277,0.057,0.017,-0.102,0.184,0.960,0.000,-0.014,0.033
511.000,5.230,-0.008,0.042,-0.033,0.430,0.019,-0.024,-0.069,-0.030,-0.289,0.047,0.022,-0.143,0.171,0.960,0.008,-0.042,0.033
512.000,5.240,-0.015,0.045,-0.032,0.427,0.028,-0.006,-0.116,-0.057,-0.294,0.034,0.025,-0.197,0.144,0.960,0.015,-0.045,0.032
513.000,5.250,-0.024,0.044,-0.030,0.421,0.039,0.024,-0.165,-0.082,-0.289,0.017,0.020,-0.265,0.096,0.960,0.024,-0.044,0.030
514.000,5.260,-0.036,0.040,-0.028,0.413,0.053,0.053,-0.214,-0.089,-0.269,-0.003,0.007,-0.352,0.019,0.960,0.036,-0.040,0.028
515.000,5.270,-0.048,0.034,-0.026,0.401,0.068,0.070,-0.258,-0.073,-0.235,-0.026,-0.008,-0.455,-0.076,0.960,0.048,-0.034,0.026
516.000,5.280,-0.059,0.030,-0.024,0.380,0.083,0.074,-0.286,-0.044,-0.186,-0.047,-0.017,-0.570,-0.170,0.960,0.059,-0.030,0.024
517.000,5.290,-0.067,0.029,-0.024,0.353,0.095,0.073,-0.297,-0.014,-0.125,-0.063,-0.012,-0.691,-0.233,0.960,0.067,-0.029,0.024
518.000,5.300,-0.071,0.031,-0.025,0.321,0.102,0.067,-0.295,0.011,-0.055,-0.072,0.005,-0.806,-0.246,0.960,0.071,-0.031,0.025
519.000,5.310,-0.072,0.034,-0.027,0.286,0.105,0.056,-0.283,0.034,0.017,-0.073,0.019,-0.902,-0.220,0.960,0.072,-0.034,0.027
520.000,5.320,-0.068,0.037,-0.029,0.248,0.104,0.047,-0.264,0.052,0.086,-0.068,0.019,-0.971,-0.177,0.960,0.068,-0.037,0.029
521.000,5.330,-0.061,0.039,-0.031,0.208,0.101,0.042,-0.242,0.068,0.151,-0.059,0.006,-1.009,-0.133,0.960,0.061,-0.039,0.031
522.000,5.340,-0.052,0.040,-0.033,0.167,0.097,0.037,-0.217,0.081,0.209,-0.049,-0.013,-1.017,-0.092,0.960,0.052,-0.040,0.033
523.000,5.350,-0.041,0.039,-0.034,0.126,0.093,0.032,-0.191,0.092,0.261,-0.038,-0.030,-1.000,-0.056,0.960,0.041,-0.039,0.034
524.000,5.360,-0.031,0.037,-0.036,0.085,0.088,0.026,-0.164,0.101,0.308,-0.028,-0.043,-0.961,-0.023,0.960,0.031,-0.037,0.036
525.000,5.370,-0.022,0.034,-0.038,0.045,0.084,0.021,-0.139,0.110,0.347,-0.019,-0.054,-0.900,0.004,0.960,0.022,-0.034,0.038
526.000,5.380,-0.014,0.030,-0.039,0.006,0.081,0.017,-0.115,0.118,0.380,-0.012,-0.065,-0.820,0.025,0.960,0.014,-0.030,0.039
527.000,5.390,-0.007,0.025,-0.041,-0.032,0.078,0.012,-0.094,0.127,0.406,-0.005,-0.076,-0.724,0.039,0.960,0.007,-0.025,0.041
528.000,5.400,-0.002,0.019,-0.043,-0.069,0.076,0.008,-0.075,0.137,0.425,0.001,-0.087,-0.614,0.045,0.960,0.002,-0.019,0.043
529.000,5.410,0.001,0.011,-0.044,-0.106,0.075,0.003,-0.059,0.147,0.436,0.005,-0.092,-0.494,0.042,0.960,-0.001,-0.011,0.044
530.000,5.420,0.003,0.003,-0.045,-0.141,0.074,0.000,-0.047,0.158,0.441,0.008,-0.087,-0.371,0.032,0.960,-0.003,-0.003,0.045
531.000,5.430,0.004,-0.008,-0.045,-0.176,0.073,-0.002,-0.041,0.168,0.441,0.009,-0.070,-0.252,0.020,0.960,-0.004,0.008,0.045
532.000,5.440,0.005,-0.019,-0.043,-0.207,0.072,0.000,-0.043,0.177,0.437,0.010,-0.049,-0.148,0.009,0.960,-0.005,0.019,0.043
533.000,5.450,0.006,-0.030,-0.042,-0.236,0.069,0.004,-0.052,0.184,0.433,0.010,-0.032,-0.075,0.003,0.960,-0.006,0.030,0.042
534.000,5.460,0.007,-0.040,-0.041,-0.259,0.064,0.010,-0.071,0.188,0.430,0.012,-0.024,-0.040,0.001,0.960,-0.007,0.040,0.041
535.000,5.470,0.009,-0.049,-0.039,-0.277,0.057,0.017,-0.102,0.184,0.430,0.015,-0.022,-0.041,0.000,0.960,-0.009,0.049,0.039
536.000,5.480,0.014,-0.054,-0.038,-0.289,0.047,0.022,-0.143,0.171,0.431,0.021,-0.021,-0.072,-0.009,0.960,-0.014,0.054,0.038
537.000,5.490,0.020,-0.057,-0.037,-0.294,0.034,0.025,-0.197,0.144,0.430,0.019,-0.024,-0.069,-0.030,0.960,-0.020,0.057,0.037
538.000,5.500,0.029,-0.057,-0.035,-0.289,0.017,0.020,-0.265,0.096,0.427,0.028,-0.006,-0.116,-0.057,0.960,-0.029,0.057,0.035
539.000,5.510,0.041,-0.053,-0.032,-0.269,-0.003,0.007,-0.352,0.019,0.421,0.039,0.024,-0.165,-0.082,0.960,-0.041,0.053,0.032
540.000,5.520,0.053,-0.049,-0.029,-0.235,-0.026,-0.008,-0.455,-0.076,0.413,0.053,0.053,-0.214,-0.089,0.960,-0.053,0.049,0.029
541.000,5.530,0.063,-0.046,-0.027,-0.186,-0.047,-0.017,-0.570,-0.170,0.401,0.068,0.070,-0.258,-0.073,0.960,-0.063,0.046,0.027
542.000,5.540,0.071,-0.047,-0.026,-0.125,-0.063,-0.012,-0.691,-0.233,0.380,0.083,0.074,-0.286,-0.044,0.960,-0.071,0.047,0.026
543.000,5.550,0.076,-0.050,-0.027,-0.055,-0.072,0.005,-0.806,-0.246,0.353,0.095,0.073,-0.297,-0.014,0.960,-0.076,0.050,0.027
544.000,5.560,0.077,-0.055,-0.028,0.017,-0.073,0.019,-0.902,-0.220,0.321,0.102,0.067,-0.295,0.011,0.960,-0.077,0.055,0.028
545.000,5.570,0.074,-0.059,-0.030,0.086,-0.068,0.019,-0.971,-0.177,0.286,0.105,0.056,-0.283,0.034,0.960,-0.074,0.059,0.030
546.000,5.580,0.068,-0.061,-0.032,0.151,-0.059,0.006,-1.009,-0.133,0.248,0.104,0.047,-0.264,0.052,0.960,-0.068,0.061,0.032
547.000,5.590,0.059,-0.062,-0.034,0.209,-0.049,-0.013,-1.017,-0.092,0.208,0.101,0.042,-0.242,0.068,0.960,-0.059,0.062,0.034
548.000,5.600,0.049,-0.062,-0.035,0.261,-0.038,-0.030,-1.000,-0.056,0.167,0.097,0.037,-0.217,0.081,0.960,-0.049,0.062,0.035
549.000,5.610,0.038,-0.060,-0.036,0.308,-0.028,-0.043,-0.961,-0.023,0.126,0.093,0.032,-0.191,0.092,0.960,-0.038,0.060,0.036
550.000,5.620,0.029,-0.058,-0.037,0.347,-0.019,-0.054,-0.900,0.004,0.085,0.088,0.026,-0.164,0.101,0.960,-0.029,0.058,0.037
551.000,5.630,0.022,-0.054,-0.038,0.380,-0.012,-0.065,-0.820,0.025,0.045,0.084,0.021,-0.139,0.110,0.960,-0.022,0.054,0.038
552.000,5.640,0.016,-0.050,-0.039,0.406,-0.005,-0.076,-0.724,0.039,0.006,0.081,0.017,-0.115,0.118,0.960,-0.016,0.050,0.039
553.000,5.650,0.011,-0.045,-0.040,0.425,0.001,-0.087,-0.614,0.045,-0.032,0.078,0.012,-0.094,0.127,0.960,-0.011,0.045,0.040
554.000,5.660,0.009,-0.040,-0.041,0.436,0.005,-0.092,-0.494,0.042,-0.069,0.076,0.008,-0.075,0.137,0.960,-0.009,0.040,0.041
555.000,5.670,0.008,-0.033,-0.041,0.441,0.008,-0.087,-0.371,0.032,-0.106,0.075,0.003,-0.059,0.147,0.960,-0.008,0.033,0.041
556.000,5.680,0.007,-0.025,-0.041,0.441,0.009,-0.070,-0.252,0.020,-0.141,0.074,0.000,-0.047,0.158,0.960,-0.007,0.025,0.041
557.000,5.690,0.007,-0.016,-0.039,0.437,0.010,-0.049,-0.148,0.009,-0.176,0.073,-0.002,-0.041,0.168,0.960,-0.007,0.016,0.039
558.000,5.700,0.007,-0.007,-0.038,0.433,0.010,-0.032,-0.075,0.003,-0.207,0.072,0.000,-0.043,0.177,0.960,-0.007,0.007,0.038
559.000,5.710,0.006,0.001,-0.036,0.430,0.012,-0.024,-0.040,0.001,-0.236,0.069,0.004,-0.052,0.184,0.960,-0.006,-0.001,0.036
560.000,5.720,0.004,0.008,-0.036,0.430,0.015,-0.022,-0.041,0.000,-0.259,0.064,0.010,-0.071,0.188,0.960,-0.004,-0.008,0.036
561.000,5.730,0.000,0.014,-0.033,0.431,0.021,-0.021,-0.072,-0.009,-0.277,0.057,0.017,-0.102,0.184,0.960,0.000,-0.014,0.033
562.000,5.740,-0.008,0.042,-0.033,0.430,0.019,-0.024,-0.069,-0.030,-0.289,0.047,0.022,-0.143,0.171,0.960,0.008,-0.042,0.033
563.000,5.750,-0.015,0.045,-0.032,0.427,0.028,-0.006,-0.116,-0.057,-0.294,0.034,0.025,-0.197,0.144,0.960,0.015,-0.045,0.032
564.000,5.760,-0.024,0.044,-0.030,0.421,0.039,0.024,-0.165,-0.082,-0.289,0.017,0.020,-0.265,0.096,0.960,0.024,-0.044,0.030
565.000,5.770,-0.036,0.040,-0.028,0.413,0.053,0.053,-0.214,-0.089,-0.269,-0.003,0.007,-0.352,0.019,0.960,0.036,-0.040,0.028
566.000,5.780,-0.048,0.034,-0.026,0.401,0.068,0.070,-0.258,-0.073,-0.235,-0.026,-0.008,-0.455,-0.076,0.960,0.048,-0.034,0.026
567.000,5.790,-0.059,0.030,-0.024,0.380,0.083,0.074,-0.286,-0.044,-0.186,-0.047,-0.017,-0.570,-0.170,0.960,0.059,-0.030,0.024
568.000,5.800,-0.067,0.029,-0.024,0.353,0.095,0.073,-0.297,-0.014,-0.125,-0.063,-0.012,-0.691,-0.233,0.960,0.067,-0.029,0.024
569.000,5.810,-0.071,0.031,-0.025,0.321,0.102,0.067,-0.295,0.011,-0.055,-0.072,0.005,-0.806,-0.246,0.960,0.071,-0.031,0.025
570.000,5.820,-0.072,0.034,-0.027,0.286,0.105,0.056,-0.283,0.034,0.017,-0.073,0.019,-0.902,-0.220,0.960,0.072,-0.034,0.027
571.000,5.830,-0.068,0.037,-0.029,0.248,0.104,0.047,-0.264,0.052,0.086,-0.068,0.019,-0.971,-0.177,0.960,0.068,-0.037,0.029
572.000,5.840,-0.061,0.039,-0.031,0.208,0.101,0.042,-0.242,0.068,0.151,-0.059,0.006,-1.009,-0.133,0.960,0.061,-0.039,0.031
573.000,5.850,-0.052,0.040,-0.033,0.167,0.097,0.037,-0.217,0.081,0.209,-0.049,-0.013,-1.017,-0.092,0.960,0.052,-0.040,0.033
574.000,5.860,-0.041,0.039,-0.034,0.126,0.093,0.032,-0.191,0.092,0.261,-0.038,-0.030,-1.000,-0.056,0.960,0.041,-0.039,0.034
575.000,5.870,-0.031,0.037,-0.036,0.085,0.088,0.026,-0.164,0.101,0.308,-0.028,-0.043,-0.961,-0.023,0.960,0.031,-0.037,0.036
576.000,5.880,-0.022,0.034,-0.038,0.045,0.084,0.021,-0.139,0.110,0.347,-0.019,-0.054,-0.900,0.004,0.960,0.022,-0.034,0.038
577.000,5.890,-0.014,0.030,-0.039,0.006,0.081,0.017,-0.115,0.118,0.380,-0.012,-0.065,-0.820,0.025,0.960,0.014,-0.030,0.039
578.000,5.900,-0.007,0.025,-0.041,-0.032,0.078,0.012,-0.094,0.127,0.406,-0.005,-0.076,-0.724,0.039,0.960,0.007,-0.025,0.041
579.000,5.910,-0.002,0.019,-0.043,-0.069,0.076,0.008,-0.075,0.137,0.425,0.001,-0.087,-0.614,0.045,0.960,0.002,-0.019,0.043
580.000,5.920,0.001,0.011,-0.044,-0.106,0.075,0.003,-0.059,0.147,0.436,0.005,-0.092,-0.494,0.042,0.960,-0.001,-0.011,0.044
581.000,5.930,0.003,0.003,-0.045,-0.141,0.074,0.000,-0.047,0.158,0.441,0.008,-0.087,-0.371,0.032,0.960,-0.003,-0.003,0.045
582.000,5.940,0.004,-0.008,-0.045,-0.176,0.073,-0.002,-0.041,0.168,0.441,0.009,-0.070,-0.252,0.020,0.960,-0.004,0.008,0.045
583.000,5.950,0.005,-0.019,-0.043,-0.207,0.072,0.000,-0.043,0.177,0.437,0.010,-0.049,-0.148,0.009,0.960,-0.005,0.019,0.043
584.000,5.960,0.006,-0.030,-0.042,-0.236,0.069,0.004,-0.052,0.184,0.433,0.010,-0.032,-0.075,0.003,0.960,-0.006,0.030,0.042
585.000,5.970,0.007,-0.040,-0.041,-0.259,0.064,0.010,-0.071,0.188,0.430,0.012,-0.024,-0.040,0.001,0.960,-0.007,0.040,0.041
586.000,5.980,0.009,-0.049,-0.039,-0.277,0.057,0.017,-0.102,0.184,0.430,0.015,-0.022,-0.041,0.000,0.960,-0.009,0.049,0.039
587.000,5.990,0.014,-0.054,-0.038,-0.289,0.047,0.022,-0.143,0.171,0.431,0.021,-0.021,-0.072,-0.009,0.960,-0.014,0.054,0.038
588.000,6.000,0.020,-0.057,-0.037,-0.294,0.034,0.025,-0.197,0.144,0.430,0.019,-0.024,-0.069,-0.030,0.960,-0.020,0.057,0.037
589.000,6.010,0.029,-0.057,-0.035,-0.289,0.017,0.020,-0.265,0.096,0.427,0.028,-0.006,-0.116,-0.057,0.960,-0.029,0.057,0.035
590.000,6.020,0.041,-0.053,-0.032,-0.269,-0.003,0.007,-0.352,0.019,0.421,0.039,0.024,-0.165,-0.082,0.960,-0.041,0.053,0.032
591.000,6.030,0.053,-0.049,-0.029,-0.235,-0.026,-0.008,-0.455,-0.076,0.413,0.053,0.053,-0.214,-0.089,0.960,-0.053,0.049,0.029
592.000,6.040,0.063,-0.046,-0.027,-0.186,-0.047,-0.017,-0.570,-0.170,0.401,0.068,0.070,-0.258,-0.073,0.960,-0.063,0.046,0.027
593.000,6.050,0.071,-0.047,-0.026,-0.125,-0.063,-0.012,-0.691,-0.233,0.380,0.083,0.074,-0.286,-0.044,0.960,-0.071,0.047,0.026
594.000,6.060,0.076,-0.050,-0.027,-0.055,-0.072,0.005,-0.806,-0.246,0.353,0.095,0.073,-0.297,-0.014,0.960,-0.076,0.050,0.027
595.000,6.070,0.077,-0.055,-0.028,0.017,-0.073,0.019,-0.902,-0.220,0.321,0.102,0.067,-0.295,0.011,0.960,-0.077,0.055,0.028
596.000,6.080,0.074,-0.059,-0.030,0.086,-0.068,0.019,-0.971,-0.177,0.286,0.105,0.056,-0.283,0.034,0.960,-0.074,0.059,0.030
597.000,6.090,0.068,-0.061,-0.032,0.151,-0.059,0.006,-1.009,-0.133,0.248,0.104,0.047,-0.264,0.052,0.960,-0.068,0.061,0.032
598.000,6.100,0.059,-0.062,-0.034,0.209,-0.049,-0.013,-1.017,-0.092,0.208,0.101,0.042,-0.242,0.068,0.960,-0.059,0.062,0.034
599.000,6.110,0.049,-0.062,-0.035,0.261,-0.038,-0.030,-1.000,-0.056,0.167,0.097,0.037,-0.217,0.081,0.960,-0.049,0.062,0.035
600.000,6.120,0.038,-0.060,-0.036,0.308,-0.028,-0.043,-0.961,-0.023,0.126,0.093,0.032,-0.191,0.092,0.960,-0.038,0.060,0.036
601.000,6.130,0.029,-0.058,-0.037,0.347,-0.019,-0.054,-0.900,0.004,0.085,0.088,0.026,-0.164,0.101,0.960,-0.029,0.058,0.037
602.000,6.140,0.022,-0.054,-0.038,0.380,-0.012,-0.065,-0.820,0.025,0.045,0.084,0.021,-0.139,0.110,0.960,-0.022,0.054,0.038
603.000,6.150,0.016,-0.050,-0.039,0.406,-0.005,-0.076,-0.724,0.039,0.006,0.081,0.017,-0.115,0.118,0.960,-0.016,0.050,0.039
604.000,6.160,0.011,-0.045,-0.040,0.425,0.001,-0.087,-0.614,0.045,-0.032,0.078,0.012,-0.094,0.127,0.960,-0.011,0.045,0.040
605.000,6.170,0.009,-0.040,-0.041,0.436,0.005,-0.092,-0.494,0.042,-0.069,0.076,0.008,-0.075,0.137,0.960,-0.009,0.040,0.041
606.000,6.180,0.008,-0.033,-0.041,0.441,0.008,-0.087,-0.371,0.032,-0.106,0.075,0.003,-0.059,0.147,0.960,-0.008,0.033,0.041
607.000,6.190,0.007,-0.025,-0.041,0.441,0.009,-0.070,-0.252,0.020,-0.141,0.074,0.000,-0.047,0.158,0.960,-0.007,0.025,0.041
608.000,6.200,0.007,-0.016,-0.039,0.437,0.010,-0.049,-0.148,0.009,-0.176,0.073,-0.002,-0.041,0.168,0.960,-0.007,0.016,0.039
609.000,6.210,0.007,-0.007,-0.038,0.433,0.010,-0.032,-0.075,0.003,-0.207,0.072,0.000,-0.043,0.177,0.960,-0.007,0.007,0.038
610.000,6.220,0.006,0.001,-0.036,0.430,0.012,-0.024,-0.040,0.001,-0.236,0.069,0.004,-0.052,0.184,0.960,-0.006,-0.001,0.036
611.000,6.230,0.004,0.008,-0.036,0.430,0.015,-0.022,-0.041,0.000,-0.259,0.064,0.010,-0.071,0.188,0.960,-0.004,-0.008,0.036
612.000,6.240,0.000,0.014,-0.033,0.431,0.021,-0.021,-0.072,-0.009,-0.277,0.057,0.017,-0.102,0.184,0.960,0.000,-0.014,0.033
613.000,6.250,-0.008,0.042,-0.033,0.430,0.019,-0.024,-0.069,-0.030,-0.289,0.047,0.022,-0.143,0.171,0.960,0.008,-0.042,0.033
614.000,6.260,-0.015,0.045,-0.032,0.427,0.028,-0.006,-0.116,-0.057,-0.294,0.034,0.025,-0.197,0.144,0.960,0.015,-0.045,0.032
615.000,6.270,-0.024,0.044,-0.030,0.421,0.039,0.024,-0.165,-0.082,-0.289,0.017,0.020,-0.265,0.096,0.960,0.024,-0.044,0.030
616.000,6.280,-0.036,0.040,-0.028,0.413,0.053,0.053,-0.214,-0.089,-0.269,-0.003,0.007,-0.352,0.019,0.960,0.036,-0.040,0.028
617.000,6.290,-0.048,0.034,-0.026,0.401,0.068,0.070,-0.258,-0.073,-0.235,-0.026,-0.008,-0.455,-0.076,0.960,0.048,-0.034,0.026
618.000,6.300,-0.059,0.030,-0.024,0.380,0.083,0.074,-0.286,-0.044,-0.186,-0.047,-0.017,-0.570,-0.170,0.960,0.059,-0.030,0.024
619.000,6.310,-0.067,0.029,-0.024,0.353,0.095,0.073,-0.297,-0.014,-0.125,-0.063,-0.012,-0.691,-0.233,0.960,0.067,-0.029,0.024
620.000,6.320,-0.071,0.031,-0.025,0.321,0.102,0.067,-0.295,0.011,-0.055,-0.072,0.005,-0.806,-0.246,0.960,0.071,-0.031,0.025
621.000,6.330,-0.072,0.034,-0.027,0.286,0.105,0.056,-0.283,0.034,0.017,-0.073,0.019,-0.902,-0.220,0.960,0.072,-0.034,0.027
622.000,6.340,-0.068,0.037,-0.029,0.248,0.104,0.047,-0.264,0.052,0.086,-0.068,0.019,-0.971,-0.177,0.960,0.068,-0.037,0.029
623.000,6.350,-0.061,0.039,-0.031,0.208,0.101,0.042,-0.242,0.068,0.151,-0.059,0.006,-1.009,-0.133,0.960,0.061,-0.039,0.031
624.000,6.360,-0.052,0.040,-0.033,0.167,0.097,0.037,-0.217,0.081,0.209,-0.049,-0.013,-1.017,-0.092,0.960,0.052,-0.040,0.033
625.000,6.370,-0.041,0.039,-0.034,0.126,0.093,0.032,-0.191,0.092,0.261,-0.038,-0.030,-1.000,-0.056,0.960,0.041,-0.039,0.034
626.000,6.380,-0.031,0.037,-0.036,0.085,0.088,0.026,-0.164,0.101,0.308,-0.028,-0.043,-0.961,-0.023,0.960,0.031,-0.037,0.036
627.000,6.390,-0.022,0.034,-0.038,0.045,0.084,0.021,-0.139,0.110,0.347,-0.019,-0.054,-0.900,0.004,0.960,0.022,-0.034,0.038
628.000,6.400,-0.014,0.030,-0.039,0.006,0.081,0.017,-0.115,0.118,0.380,-0.012,-0.065,-0.820,0.025,0.960,0.014,-0.030,0.039
629.000,6.410,-0.007,0.025,-0.041,-0.032,0.078,0.012,-0.094,0.127,0.406,-0.005,-0.076,-0.724,0.039,0.960,0.007,-0.025,0.041
630.000,6.420,-0.002,0.019,-0.043,-0.069,0.076,0.008,-0.075,0.137,0.425,0.001,-0.087,-0.614,0.045,0.960,0.002,-0.019,0.043
631.000,6.430,0.001,0.011,-0.044,-0.106,0.075,0.003,-0.059,0.147,0.436,0.005,-0.092,-0.494,0.042,0.960,-0.001,-0.011,0.044
632.000,6.440,0.003,0.003,-0.045,-0.141,0.074,0.000,-0.047,0.158,0.441,0.008,-0.087,-0.371,0.032,0.960,-0.003,-0.003,0.045
633.000,6.450,0.004,-0.008,-0.045,-0.176,0.073,-0.002,-0.041,0.168,0.441,0.009,-0.070,-0.252,0.020,0.960,-0.004,0.008,0.045
634.000,6.460,0.005,-0.019,-0.043,-0.207,0.072,0.000,-0.043,0.177,0.437,0.010,-0.049,-0.148,0.009,0.960,-0.005,0.019,0.043
635.000,6.470,0.006,-0.030,-0.042,-0.236,0.069,0.004,-0.052,0.184,0.433,0.010,-0.032,-0.075,0.003,0.960,-0.006,0.030,0.042
636.000,6.480,0.007,-0.040,-0.041,-0.259,0.064,0.010,-0.071,0.188,0.430,0.012,-0.024,-0.040,0.001,0.960,-0.007,0.040,0.041
637.000,6.490,0.009,-0.049,-0.039,-0.277,0.057,0.017,-0.102,0.184,0.430,0.015,-0.022,-0.041,0.000,0.960,-0.009,0.049,0.039
638.000,6.500,0.014,-0.054,-0.038,-0.289,0.047,0.022,-0.143,0.171,0.431,0.021,-0.021,-0.072,-0.009,0.960,-0.014,0.054,0.038
639.000,6.510,0.020,-0.057,-0.037,-0.294,0.034,0.025,-0.197,0.144,0.430,0.019,-0.024,-0.069,-0.030,0.960,-0.020,0.057,0.037
640.000,6.520,0.029,-0.057,-0.035,-0.289,0.017,0.020,-0.265,0.096,0.427,0.028,-0.006,-0.116,-0.057,0.960,-0.029,0.057,0.035
641.000,6.530,0.041,-0.053,-0.032,-0.269,-0.003,0.007,-0.352,0.019,0.421,0.039,0.024,-0.165,-0.082,0.960,-0.041,0.053,0.032
642.000,6.540,0.053,-0.049,-0.029,-0.235,-0.026,-0.008,-0.455,-0.076,0.413,0.053,0.053,-0.214,-0.089,0.960,-0.053,0.049,0.029
643.000,6.550,0.063,-0.046,-0.027,-0.186,-0.047,-0.017,-0.570,-0.170,0.401,0.068,0.070,-0.258,-0.073,0.960,-0.063,0.046,0.027
644.000,6.560,0.071,-0.047,-0.026,-0.125,-0.063,-0.012,-0.691,-0.233,0.380,0.083,0.074,-0.286,-0.044,0.960,-0.071,0.047,0.026
645.000,6.570,0.076,-0.050,-0.027,-0.055,-0.072,0.005,-0.806,-0.246,0.353,0.095,0.073,-0.297,-0.014,0.960,-0.076,0.050,0.027
646.000,6.580,0.077,-0.055,-0.028,0.017,-0.073,0.019,-0.902,-0.220,0.321,0.102,0.067,-0.295,0.011,0.960,-0.077,0.055,0.028
647.000,6.590,0.074,-0.059,-0.030,0.086,-0.068,0.019,-0.971,-0.177,0.286,0.105,0.056,-0.283,0.034,0.960,-0.074,0.059,0.030
648.000,6.600,0.068,-0.061,-0.032,0.151,-0.059,0.006,-1.009,-0.133,0.248,0.104,0.047,-0.264,0.052,0.960,-0.068,0.061,0.032
649.000,6.610,0.059,-0.062,-0.034,0.209,-0.049,-0.013,-1.017,-0.092,0.208,0.101,0.042,-0.242,0.068,0.960,-0.059,0.062,0.034
650.000,6.620,0.049,-0.062,-0.035,0.261,-0.038,-0.030,-1.000,-0.056,0.167,0.097,0.037,-0.217,0.081,0.960,-0.049,0.062,0.035
651.000,6.630,0.038,-0.060,-0.036,0.308,-0.028,-0.043,-0.961,-0.023,0.126,0.093,0.032,-0.191,0.092,0.960,-0.038,0.060,0.036
652.000,6.640,0.029,-0.058,-0.037,0.347,-0.019,-0.054,-0.900,0.004,0.085,0.088,0.026,-0.164,0.101,0.960,-0.029,0.058,0.037
653.000,6.650,0.022,-0.054,-0.038,0.380,-0.012,-0.065,-0.820,0.025,0.045,0.084,0.021,-0.139,0.110,0.960,-0.022,0.054,0.038
