time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension
1.8,-0.15682497,-0.027774641,-0.035787697,-0.00274564,0.90420152,-0.00401721,0.297233623,0.055442608,0,-0.444827292,0.55614521,0.306134629,-0.067909889,0,-0.439548692,0.575703948,-0.0872665
1.817,-0.156648834,-0.027649057,-0.035607594,-0.00289665,0.9042078,-0.00381211,0.297356507,0.05543062,0,-0.444868238,0.556181014,0.306068799,-0.068159556,0,-0.439530138,0.575702736,-0.0872665
1.833,-0.15637108,-0.027523901,-0.035596213,-0.00314061,0.90428244,-0.00359298,0.297428764,0.055500183,0,-0.444955114,0.556234181,0.306052206,-0.068327948,0,-0.439480735,0.57569986,-0.0872665
1.85,-0.156331008,-0.027338529,-0.037106065,-0.00335366,0.90426762,-0.00320121,0.299766532,0.055926942,0,-0.449483701,0.557561246,0.305008911,-0.068891843,0,-0.437532979,0.576046655,-0.0872665
1.867,-0.1563881,-0.027113605,-0.037125401,-0.0034092,0.90424425,-0.00290642,0.299794155,0.05590251,0,-0.449466354,0.557539942,0.305012807,-0.069158294,0,-0.437523166,0.57604385,-0.0872665
1.883,-0.157294001,-0.02815274,-0.038567582,-0.00367847,0.90423215,-0.00220724,0.300983186,0.057993593,0,-0.448977542,0.556539627,0.305651644,-0.071569346,0,-0.436719586,0.575892472,-0.0872665
1.9,-0.158422147,-0.02841598,-0.039819449,-0.00404498,0.90422657,-0.00167537,0.302577864,0.059054563,0,-0.448503197,0.555824872,0.306338288,-0.072849878,0,-0.435241699,0.575819245,-0.0872665
1.917,-0.159678423,-0.028612994,-0.041325804,-0.0043788,0.90415655,-0.00111145,0.305003453,0.060095328,0,-0.449472737,0.554779525,0.306737694,-0.074124187,0,-0.433125774,0.575355996,-0.0872665
1.933,-0.159768666,-0.028307645,-0.04126661,-0.00434504,0.90406146,-0.00073384,0.305118436,0.060043779,0,-0.449594569,0.55475375,0.306601336,-0.074450754,0,-0.433113341,0.57532418,-0.0872665
1.95,-0.160397915,-0.027694905,-0.043383152,-0.00450539,0.903787,-0.00018961,0.311997211,0.06009806,0,-0.461644493,0.556145095,0.305532075,-0.074869611,0,-0.430020011,0.57515568,-0.0872665
1.967,-0.162886257,-0.028524315,-0.04604852,-0.0052482,0.90368151,0.00079025,0.315497003,0.062423876,0,-0.460898004,0.555473129,0.307901752,-0.077631211,0,-0.428370855,0.575201445,-0.0872665
1.983,-0.161694747,-0.029085467,-0.044589541,-0.00484142,0.90353079,0.00156992,0.31570409,0.063777338,0,-0.465299073,0.556163937,0.306145372,-0.079279335,0,-0.427966054,0.57563937,-0.0872665
2,-0.162201512,-0.028358446,-0.047840209,-0.00507939,0.90319426,0.00253475,0.321890971,0.064348746,0,-0.476461975,0.561334313,0.305275481,-0.08008385,0,-0.426194976,0.578054637,-0.0872665
2.017,-0.162391504,-0.029117064,-0.04931019,-0.00500432,0.90312387,0.00386644,0.323349127,0.067063181,0,-0.479088531,0.562124975,0.304764853,-0.082814508,0,-0.425853167,0.577790532,-0.0872665
2.033,-0.164411243,-0.028450912,-0.051799911,-0.00535144,0.90279987,0.00513055,0.330330237,0.068418248,0,-0.487626807,0.563276608,0.306540526,-0.084053989,0,-0.425550167,0.577764375,-0.0872665
2.05,-0.165314331,-0.028997208,-0.054231788,-0.00549586,0.90268225,0.00678103,0.332417912,0.071529957,0,-0.489483389,0.563676046,0.30690141,-0.087009535,0,-0.425299961,0.577319746,-0.0872665
2.067,-0.165616616,-0.028613288,-0.057588088,-0.00545825,0.90259706,0.00847445,0.333320896,0.07353553,0,-0.490356615,0.564355534,0.306900936,-0.08890406,0,-0.426482658,0.577063432,-0.0872665
